Name,Latin Name,Ideal growth Climate,Watering Needs,Time to Consumable (days),Weight when Full Grown (kg),Kcal per 100g,Proteins per 100g (g)
Mulberry,Mulberry indica,Polar,Low,349,4.63,328.0,8.5
Fig,Fig minor,Mediterranean,High,218,4.13,328.9,9.8
Kiwi,Kiwi latifolia,Temperate,Moderate,101,0.97,356.8,5.2
Guava,Guava indica,Temperate,Moderate,297,4.18,164.1,7.6
Lychee,Lychee latifolia,Mediterranean,Moderate,252,2.62,285.6,5.6
Durian,Durian genuina,Polar,High,254,3.99,171.7,7.2
Rambutan,Rambutan major,Mediterranean,Low,68,4.95,398.0,5.5
Passion Fruit,Passion fruit indica,Polar,Low,95,3.99,178.2,1.3
Jackfruit,Jackfruit latifolia,Polar,Low,51,2.85,203.7,5.5
Breadfruit,Breadfruit genuina,Polar,High,278,0.42,83.2,7.0
Starfruit,Starfruit minor,Polar,High,297,4.61,298.5,8.6
Dragonfruit,Dragonfruit major,Arid,Low,203,1.19,296.7,9.5
Tamarind,Tamarind indica,Temperate,Moderate,215,4.74,247.6,9.1
Pomegranate,Pomegranate latifolia,Polar,Moderate,253,4.22,232.1,2.6
Coconut,Coconut indica,Mediterranean,Moderate,240,2.9,186.0,3.6
Cashew,Cashew minor,Temperate,Low,48,3.73,283.3,2.1
Pistachio,Pistachio latifolia,Temperate,Moderate,245,4.74,218.6,1.8
Macadamia Nut,Macadamia nut vulgaris,Arid,Moderate,179,4.2,297.3,7.0
Brazil Nut,Brazil nut minor,Temperate,High,214,3.56,382.5,8.4
Betel Nut,Betel nut sapiens,Tropical,Low,344,4.27,313.1,6.1
Carob,Carob sapiens,Mediterranean,High,160,0.82,166.9,2.6
Cocoa Bean,Cocoa bean indica,Temperate,Low,205,2.5,58.4,2.1
Coffee Bean,Coffee bean latifolia,Mediterranean,High,129,1.38,335.1,1.7
Vanilla,Vanilla genuina,Tropical,Moderate,152,2.97,138.8,1.8
Dates,Dates latifolia,Mediterranean,Moderate,300,1.43,160.0,2.2
Olives,Olives genuina,Polar,Moderate,246,4.11,288.5,7.4
Caper,Caper latifolia,Mediterranean,Moderate,338,3.92,201.4,6.4
Figs,Figs minor,Polar,Low,139,3.06,158.4,5.7
Chestnut,Chestnut vulgaris,Temperate,Moderate,191,0.69,237.8,9.8
Lotus Root,Lotus root fixa,Polar,Low,198,3.39,273.0,9.4
Arrowroot,Arrowroot fixa,Arid,High,144,3.91,143.7,1.8
Taro,Taro latifolia,Mediterranean,Low,160,0.14,321.2,0.5
Cassava,Cassava vulgaris,Arid,Low,115,3.57,208.2,2.1
Seaweed,Seaweed minor,Polar,Moderate,242,4.16,54.4,6.8
Nori,Nori latifolia,Tropical,Moderate,78,4.31,390.9,2.2
Wakame,Wakame indica,Mediterranean,Moderate,34,0.48,339.3,5.3
Kombu,Kombu vulgaris,Temperate,Moderate,153,4.47,243.5,9.9
Alfalfa Sprouts,Alfalfa sprouts vulgaris,Mediterranean,High,138,2.45,379.1,4.2
Mung Bean Sprouts,Mung bean sprouts fixa,Tropical,High,347,2.28,192.2,6.3
Chickweed,Chickweed genuina,Arid,Moderate,319,2.56,129.0,5.4
Amaranth,Amaranth genuina,Tropical,Low,246,4.04,38.2,9.9
Quail Grass,Quail grass fixa,Polar,High,68,4.1,303.4,4.8
Agave,Agave vulgaris,Polar,High,124,3.19,46.3,8.6
Aloe Vera,Aloe vera vulgaris,Mediterranean,High,288,1.28,359.3,6.9
Bamboo Shoots,Bamboo shoots vulgaris,Polar,Low,294,1.81,105.9,2.9
Burdock Root,Burdock root fixa,Mediterranean,Moderate,272,1.0,20.5,1.7
Cattail,Cattail vulgaris,Tropical,Moderate,192,4.81,55.5,3.4
Lamb's Quarters,Lamb's quarters genuina,Temperate,High,303,2.08,332.6,4.9
Plantain,Plantain fixa,Temperate,Low,223,4.3,357.5,8.7
Prickly Pear Cactus,Prickly pear cactus vulgaris,Polar,High,233,1.59,30.9,0.9
Watercress,Watercress major,Mediterranean,Moderate,90,1.99,105.4,2.6
Hibiscus,Hibiscus genuina,Mediterranean,Low,120,4.51,17.6,0.9
Rose Hips,Rose hips latifolia,Mediterranean,Low,168,4.39,35.4,3.6
Elderberry,Elderberry sapiens,Arid,Moderate,216,2.37,340.3,1.3
Mulberry,Mulberry latifolia,Temperate,Low,334,2.82,104.2,7.8
Jujube,Jujube indica,Polar,Low,262,2.98,113.9,7.5
Ackee,Ackee latifolia,Tropical,Low,203,1.93,256.6,9.7
Breadnut,Breadnut sapiens,Tropical,Moderate,224,1.19,351.0,7.2
Ackee,Ackee sapiens,Mediterranean,Low,99,1.68,55.5,9.9
Acerola,Acerola latifolia,Tropical,Low,119,1.91,125.0,4.0
Sapote,Sapote latifolia,Arid,Moderate,359,3.46,369.0,9.6
Loquat,Loquat genuina,Polar,High,352,0.48,298.8,9.6
Santol,Santol latifolia,Temperate,Low,293,0.93,285.9,3.0
Longan,Longan major,Arid,High,288,1.5,316.4,8.9
Mangosteen,Mangosteen vulgaris,Polar,Moderate,302,4.46,353.1,3.7
Salak,Salak major,Mediterranean,Moderate,194,3.5,256.2,6.1
Miracle Fruit,Miracle fruit genuina,Temperate,High,136,0.85,247.4,3.9
Wolfberry,Wolfberry minor,Mediterranean,High,290,4.4,99.6,0.5
Aronia,Aronia major,Arid,Moderate,140,4.35,253.7,8.4
Medlar,Medlar latifolia,Tropical,High,352,0.96,384.3,3.4
Tamarillo,Tamarillo genuina,Temperate,High,148,3.95,375.2,7.0
Pepino,Pepino fixa,Polar,Low,198,3.89,348.6,6.1
Chayote,Chayote major,Polar,High,207,2.03,321.5,7.4
Bitter Melon,Bitter melon sapiens,Mediterranean,Moderate,86,0.92,133.4,9.4
Winter Melon,Winter melon indica,Tropical,High,74,2.8,210.1,7.1
Snake Gourd,Snake gourd genuina,Tropical,Low,90,0.15,260.2,3.6
Sponge Gourd,Sponge gourd fixa,Polar,High,349,1.16,234.3,8.6
Teff,Teff latifolia,Polar,Low,269,2.13,317.7,7.2
Einkorn,Einkorn major,Tropical,Moderate,151,2.42,368.7,6.9
Spelt,Spelt vulgaris,Arid,High,181,4.45,43.5,2.2
Sorghum,Sorghum sapiens,Arid,Moderate,289,0.63,317.5,7.5
Millet,Millet genuina,Mediterranean,Moderate,134,0.12,305.9,2.4
Rye,Rye vulgaris,Arid,Moderate,167,1.87,151.4,0.9
Triticale,Triticale indica,Tropical,High,262,1.02,97.9,3.1
Kamut,Kamut sapiens,Temperate,High,113,3.69,223.3,2.7
Buckwheat,Buckwheat minor,Tropical,Low,238,3.01,376.7,6.5
Wild Rice,Wild rice indica,Mediterranean,Moderate,78,4.94,344.7,9.9
Fonio,Fonio major,Mediterranean,Moderate,127,3.97,300.3,8.0
Farro,Farro vulgaris,Temperate,High,33,3.14,275.8,5.3
Adzuki Beans,Adzuki beans minor,Temperate,Low,43,4.91,317.7,4.0
Black Beans,Black beans major,Arid,High,100,1.11,243.4,2.7
Kidney Beans,Kidney beans vulgaris,Polar,High,86,4.44,133.7,2.9
Navy Beans,Navy beans latifolia,Tropical,Low,136,0.5,247.7,5.9
Pinto Beans,Pinto beans minor,Polar,Low,354,4.97,110.8,3.7
Cranberry Beans,Cranberry beans major,Tropical,Moderate,90,2.96,62.4,7.2
Lupin Beans,Lupin beans genuina,Mediterranean,Moderate,36,1.97,277.5,3.4
Black-Eyed Peas,Black-eyed peas latifolia,Tropical,Moderate,278,2.44,262.9,3.1
Lentils,Lentils latifolia,Temperate,Low,110,0.79,37.2,8.0
Split Peas,Split peas major,Arid,High,122,2.57,316.1,3.3
Chickpea,Chickpea genuina,Polar,High,281,3.55,12.4,3.9
Cannellini Bean,Cannellini bean vulgaris,Polar,High,345,0.41,40.7,3.1
Fava Bean,Fava bean sapiens,Temperate,Moderate,204,3.77,51.4,6.7
Lima Bean,Lima bean minor,Polar,Low,53,0.55,287.0,4.8
Mung Bean,Mung bean minor,Arid,Low,303,2.47,84.7,4.0
Soybean,Soybean genuina,Tropical,Low,226,1.5,258.6,9.5
Winged Bean,Winged bean major,Mediterranean,Moderate,50,3.48,175.9,8.0
Hyacinth Bean,Hyacinth bean minor,Polar,High,315,3.98,276.0,7.1
Peanuts,Peanuts minor,Mediterranean,Moderate,266,1.98,235.4,2.3
Pea Shoots,Pea shoots indica,Mediterranean,Low,215,3.66,78.7,1.5
Wasabi,Wasabi genuina,Tropical,High,90,0.92,333.8,8.5
Sea Kale,Sea kale sapiens,Tropical,Low,119,2.75,99.3,7.9
Lovage,Lovage fixa,Temperate,Moderate,147,0.34,289.3,4.7
Tarragon,Tarragon minor,Temperate,High,200,4.51,16.9,5.8
Lemon Thyme,Lemon thyme vulgaris,Temperate,High,55,3.08,34.6,2.1
Wild Garlic,Wild garlic vulgaris,Tropical,High,295,2.97,257.8,3.7
Ramsons,Ramsons major,Mediterranean,Low,183,3.9,295.6,6.6
Stinging Nettle,Stinging nettle major,Arid,High,164,1.32,111.8,8.1
Pokeweed,Pokeweed latifolia,Temperate,Low,210,3.62,39.0,9.7
Marshmallow,Marshmallow minor,Tropical,Low,119,1.49,385.7,1.4
Sassafras,Sassafras vulgaris,Polar,High,350,1.82,212.0,5.0
Hops,Hops latifolia,Tropical,High,306,3.04,335.3,2.3
Sweet Violet,Sweet violet genuina,Tropical,Moderate,46,0.54,353.5,8.9
Blue Cornflower,Blue cornflower major,Polar,Low,204,2.08,296.4,7.3
Borage,Borage indica,Polar,Moderate,285,0.55,66.2,6.5
Calendula,Calendula fixa,Arid,Low,59,2.15,156.5,5.8
Chamomile,Chamomile fixa,Polar,High,352,2.26,60.5,4.0
Carnation,Carnation indica,Arid,Moderate,48,4.91,44.3,4.9
Chrysanthemum,Chrysanthemum minor,Polar,Moderate,92,0.69,204.8,5.3
Lavender,Lavender indica,Polar,Moderate,40,1.87,280.3,1.1
Marigold,Marigold sapiens,Tropical,Moderate,268,2.91,38.0,5.8
Nasturtium,Nasturtium vulgaris,Temperate,High,136,0.59,380.5,7.1
Pansy,Pansy indica,Temperate,High,200,3.11,45.6,1.8
Rose,Rose vulgaris,Tropical,High,143,4.87,396.1,5.2
Safflower,Safflower genuina,Arid,Low,85,2.67,286.2,8.4
Sunflower,Sunflower latifolia,Tropical,Moderate,50,2.48,11.8,2.5
Zucchini Blossoms,Zucchini blossoms fixa,Mediterranean,Low,359,4.87,362.6,4.3
