Name,Latin Name,Ideal growth Climate,Watering Needs,Time to Consumable (days),Weight when Full Grown (kg),Kcal per 100g,Proteins per 100g (g)
Wild Garlic,Wild garlic vulgaris,Tropical,2,295,2,257,3
Ramsons,Ramsons major,Mediterranean,0,183,3,295,6
Stinging Nettle,Stinging nettle major,Arid,2,164,1,111,8
Pokeweed,Pokeweed latifolia,Temperate,0,210,3,39,9
Marshmallow,Marshmallow minor,Tropical,0,119,1,385,1
Sassafras,Sassafras vulgaris,Polar,2,350,1,212,5
Hops,Hops latifolia,Tropical,2,306,3,335,2
Sweet Violet,Sweet violet genuina,Tropical,1,46,0,353,8
Blue Cornflower,Blue cornflower major,Polar,0,204,2,296,7
Borage,Borage indica,Polar,1,285,0,66,6
Calendula,Calendula fixa,Arid,0,59,2,156,5
Chamomile,Chamomile fixa,Polar,2,352,2,60,4
Carnation,Carnation indica,Arid,1,48,4,44,4
Chrysanthemum,Chrysanthemum minor,Polar,1,92,0,204,5
Lavender,Lavender indica,Polar,1,40,1,280,1
Marigold,Marigold sapiens,Tropical,1,268,2,38,5
Nasturtium,Nasturtium vulgaris,Temperate,2,136,0,380,7
Pansy,Pansy indica,Temperate,2,200,3,45,1
Rose,Rose vulgaris,Tropical,2,143,4,396,5
Safflower,Safflower genuina,Arid,0,85,2,286,8
Sunflower,Sunflower latifolia,Tropical,1,50,2,11,2
Zucchini Blossoms,Zucchini blossoms fixa,Mediterranean,0,359,4,362,4
