Name,Latin Name,Ideal growth Climate,Watering Needs,Time to Consumable (days),Weight when Full Grown (kg),Kcal per 100g,Proteins per 100g (g)
Dill,Dill sapiens,Tropical,Low,120,4.06,244.5,7.0
Tarragon,Tarragon major,Arid,High,146,2.24,269.9,5.4
Oregano,Oregano genuina,Arid,Moderate,148,4.16,305.9,0.8
Lavender,Lavender sapiens,Arid,Low,70,2.96,164.3,1.9
Lemon Balm,Lemon balm fixa,Temperate,Moderate,269,4.34,316.3,6.0
Fennel,Fennel latifolia,Mediterranean,Low,167,4.72,220.1,8.7
Celery,Celery latifolia,Temperate,High,358,0.49,320.8,0.5
Bell Pepper,Bell pepper latifolia,Polar,High,166,2.76,395.4,4.6
Chili Pepper,Chili pepper latifolia,Mediterranean,Moderate,329,0.21,303.6,8.3
Okra,Okra latifolia,Temperate,Low,160,1.73,335.9,3.0
Eggplant,Eggplant minor,Polar,High,140,4.54,333.4,8.4
Artichoke,Artichoke latifolia,Tropical,Low,268,4.66,310.5,3.3
Asparagus,Asparagus major,Polar,Low,326,0.86,368.7,9.3
Bok Choy,Bok choy latifolia,Temperate,Moderate,271,2.71,86.3,4.6
Mustard Greens,Mustard greens vulgaris,Mediterranean,High,77,1.21,229.8,2.6
Collard Greens,Collard greens genuina,Polar,Moderate,255,2.27,395.6,2.9
Arugula,Arugula fixa,Tropical,High,87,4.05,173.3,1.7
Endive,Endive latifolia,Temperate,Low,242,4.26,92.6,2.6
Escarole,Escarole fixa,Polar,Moderate,285,4.64,243.5,6.9
Green Onion,Green onion fixa,Mediterranean,High,261,1.55,196.2,7.9
Garlic,Garlic latifolia,Arid,High,349,1.83,117.3,0.6
Leek,Leek genuina,Arid,High,97,3.23,24.3,8.8
Shallot,Shallot vulgaris,Mediterranean,High,167,2.49,346.4,8.7
Onion,Onion genuina,Polar,High,290,4.61,220.4,3.0
Ginger,Ginger genuina,Temperate,Low,39,0.95,83.3,4.4
Turmeric,Turmeric indica,Temperate,Low,167,4.48,273.1,9.3
Horseradish,Horseradish fixa,Tropical,High,71,4.71,278.1,6.2
Daikon,Daikon major,Polar,Low,111,3.26,99.8,3.2
Turnip,Turnip major,Polar,High,318,1.94,47.9,1.6
Rutabaga,Rutabaga latifolia,Polar,Moderate,153,1.96,296.5,9.4
Yam,Yam major,Mediterranean,High,319,3.12,121.2,1.7
Parsnip,Parsnip major,Polar,Moderate,318,1.07,191.8,7.2
Kohlrabi,Kohlrabi vulgaris,Arid,Low,58,4.33,160.7,6.8
Jerusalem Artichoke,Jerusalem artichoke fixa,Mediterranean,Low,262,4.23,130.5,3.0
Malabar Spinach,Malabar spinach genuina,Arid,Low,215,1.23,67.2,2.7
Purslane,Purslane major,Tropical,Low,214,2.83,30.5,9.4
Dandelion Greens,Dandelion greens vulgaris,Mediterranean,High,31,2.76,183.1,8.3
Nasturtium,Nasturtium sapiens,Tropical,Moderate,173,2.55,328.6,0.8
Sorrel,Sorrel indica,Mediterranean,Low,61,0.2,144.6,3.9
Rhubarb,Rhubarb genuina,Arid,Low,205,3.53,383.4,6.2
Gooseberry,Gooseberry fixa,Arid,Moderate,204,0.21,171.5,2.4
Currant,Currant sapiens,Mediterranean,Low,111,0.11,136.7,6.9
Cranberry,Cranberry sapiens,Arid,High,226,0.6,131.2,3.8
Blueberry,Blueberry vulgaris,Temperate,High,341,3.07,57.9,1.5
Blackberry,Blackberry fixa,Temperate,High,87,3.78,295.3,1.9
Raspberry,Raspberry sapiens,Tropical,Low,102,4.6,35.0,5.2
Strawberry,Strawberry indica,Polar,High,338,2.16,115.8,8.4
Mulberry,Mulberry fixa,Polar,High,286,0.84,166.9,4.6
Fig,Fig latifolia,Polar,Low,132,2.0,184.0,2.2
Kiwi,Kiwi latifolia,Tropical,Low,30,3.55,368.9,4.8
Guava,Guava fixa,Tropical,Moderate,121,2.24,52.7,5.1
Lychee,Lychee latifolia,Polar,Moderate,87,3.87,299.0,6.0
Durian,Durian fixa,Mediterranean,Moderate,225,3.91,142.3,5.8
Rambutan,Rambutan vulgaris,Arid,Low,250,1.1,386.7,1.0
Passion Fruit,Passion fruit major,Mediterranean,Low,337,1.52,221.1,6.0
Jackfruit,Jackfruit vulgaris,Temperate,Moderate,176,1.69,23.9,3.8
Breadfruit,Breadfruit major,Mediterranean,Moderate,106,3.25,20.6,2.5
Starfruit,Starfruit fixa,Mediterranean,Low,141,2.08,23.8,5.2
Dragonfruit,Dragonfruit sapiens,Arid,High,331,3.58,65.0,6.8
Tamarind,Tamarind fixa,Tropical,Moderate,74,3.0,149.1,2.9
Pomegranate,Pomegranate sapiens,Arid,High,203,4.42,276.6,8.5
Coconut,Coconut latifolia,Arid,High,222,0.46,29.6,7.6
Cashew,Cashew latifolia,Arid,Moderate,207,2.17,364.5,3.9
Pistachio,Pistachio genuina,Arid,Moderate,186,0.85,293.9,9.4
Macadamia Nut,Macadamia nut indica,Tropical,Low,270,2.06,319.9,6.1
Brazil Nut,Brazil nut vulgaris,Polar,Low,223,3.42,247.6,2.4
Betel Nut,Betel nut indica,Temperate,Low,351,2.2,232.0,3.7
Carob,Carob genuina,Mediterranean,High,131,1.24,251.1,3.4
Cocoa Bean,Cocoa bean vulgaris,Arid,Moderate,297,3.31,251.4,6.8
Coffee Bean,Coffee bean latifolia,Polar,Moderate,272,4.7,152.0,7.4
Vanilla,Vanilla indica,Temperate,High,227,2.24,376.4,1.4
Dates,Dates sapiens,Temperate,Moderate,35,3.83,366.6,0.5
Olives,Olives genuina,Temperate,Low,253,4.77,201.4,4.6
Caper,Caper indica,Temperate,Low,85,4.45,119.7,5.8
Figs,Figs genuina,Tropical,Moderate,122,1.75,102.0,3.3
Chestnut,Chestnut sapiens,Mediterranean,High,198,4.99,353.3,6.3
Lotus Root,Lotus root latifolia,Temperate,Moderate,319,1.52,96.6,8.4
Arrowroot,Arrowroot sapiens,Arid,High,327,1.95,39.1,1.9
Taro,Taro indica,Tropical,Moderate,130,1.18,199.8,2.5
Cassava,Cassava vulgaris,Polar,High,105,1.46,216.8,6.1
Seaweed,Seaweed latifolia,Arid,High,81,0.29,231.7,9.1
Nori,Nori minor,Mediterranean,Low,55,1.35,19.0,4.1
Wakame,Wakame genuina,Polar,Low,363,4.02,195.0,2.6
Kombu,Kombu vulgaris,Tropical,Moderate,170,1.23,388.6,0.7
Alfalfa Sprouts,Alfalfa sprouts latifolia,Temperate,Moderate,80,4.46,271.6,7.9
Mung Bean Sprouts,Mung bean sprouts major,Tropical,Moderate,237,2.87,13.1,6.5
Chickweed,Chickweed latifolia,Tropical,Low,280,4.58,169.8,5.8
Amaranth,Amaranth indica,Arid,High,239,4.54,316.1,3.4
Quail Grass,Quail grass sapiens,Arid,Low,136,2.99,219.4,6.0
Agave,Agave indica,Polar,Moderate,272,4.38,155.0,9.7
Aloe Vera,Aloe vera genuina,Temperate,Low,296,3.73,137.6,2.1
Bamboo Shoots,Bamboo shoots fixa,Temperate,Moderate,325,2.17,251.6,4.6
Burdock Root,Burdock root indica,Arid,High,92,2.45,385.7,1.3
Cattail,Cattail vulgaris,Arid,Low,118,3.42,375.7,6.5
Lamb's Quarters,Lamb's quarters indica,Mediterranean,Low,205,4.0,194.3,4.1
Plantain,Plantain indica,Temperate,High,296,0.79,366.9,3.8
Prickly Pear Cactus,Prickly pear cactus minor,Polar,High,342,0.78,269.5,8.8
Watercress,Watercress sapiens,Polar,Low,351,2.03,381.8,4.8
Hibiscus,Hibiscus vulgaris,Polar,Moderate,313,1.43,281.6,0.7
Rose Hips,Rose hips fixa,Polar,Moderate,348,1.14,314.3,2.0
Elderberry,Elderberry fixa,Temperate,Moderate,93,3.98,130.8,3.2
Mulberry,Mulberry fixa,Tropical,Moderate,172,2.45,44.6,5.3
Jujube,Jujube fixa,Temperate,Moderate,302,2.88,142.3,5.6
Ackee,Ackee latifolia,Tropical,Low,346,0.14,323.3,1.3
Breadnut,Breadnut sapiens,Polar,Low,116,0.34,306.4,4.3
Ackee,Ackee vulgaris,Tropical,High,279,4.57,396.3,7.3
Acerola,Acerola genuina,Temperate,High,286,3.28,333.6,3.6
Sapote,Sapote genuina,Arid,Moderate,186,2.52,44.7,8.7
Loquat,Loquat sapiens,Arid,High,320,1.71,78.8,7.6
Santol,Santol indica,Arid,Low,89,2.52,249.9,1.0
Longan,Longan major,Arid,Low,361,0.12,133.4,2.5
Mangosteen,Mangosteen latifolia,Polar,Moderate,106,3.77,228.4,6.3
Salak,Salak major,Arid,Low,338,0.5,234.1,10.0
Miracle Fruit,Miracle fruit minor,Polar,Moderate,123,2.32,135.6,2.5
Wolfberry,Wolfberry vulgaris,Temperate,High,303,5.0,72.8,4.3
Aronia,Aronia latifolia,Tropical,High,170,1.79,177.1,6.2
Medlar,Medlar indica,Arid,Low,49,2.65,275.9,1.9
Tamarillo,Tamarillo fixa,Arid,Moderate,344,2.36,206.3,1.8
Pepino,Pepino minor,Mediterranean,Moderate,126,0.78,152.4,7.2
Chayote,Chayote genuina,Temperate,Low,67,1.02,102.9,0.7
Bitter Melon,Bitter melon major,Arid,Low,35,1.17,95.8,9.6
Winter Melon,Winter melon genuina,Tropical,Low,197,2.94,325.9,8.5
Snake Gourd,Snake gourd indica,Mediterranean,Moderate,357,1.41,293.4,7.8
Sponge Gourd,Sponge gourd minor,Arid,High,160,3.57,215.3,5.0
Teff,Teff major,Temperate,High,48,0.73,389.5,6.2
Einkorn,Einkorn major,Polar,Low,212,2.05,69.5,2.8
Spelt,Spelt latifolia,Temperate,High,349,1.56,128.2,7.5
Sorghum,Sorghum genuina,Mediterranean,Low,319,4.92,75.6,7.3
Millet,Millet major,Mediterranean,Low,35,2.31,346.9,8.8
Rye,Rye vulgaris,Temperate,High,92,1.17,300.5,2.2
Triticale,Triticale minor,Mediterranean,Moderate,61,1.62,43.4,1.1
Kamut,Kamut sapiens,Tropical,Low,221,4.12,241.4,1.6
Buckwheat,Buckwheat minor,Tropical,High,316,4.59,348.5,2.7
Wild Rice,Wild rice latifolia,Temperate,Moderate,144,0.11,398.1,1.7
Fonio,Fonio latifolia,Arid,Low,285,0.15,238.9,0.5
Farro,Farro sapiens,Polar,High,92,3.85,15.9,7.1
Adzuki Beans,Adzuki beans major,Temperate,Low,116,3.18,230.8,2.2
Black Beans,Black beans latifolia,Mediterranean,High,101,0.54,181.5,9.9
Kidney Beans,Kidney beans vulgaris,Arid,Low,235,2.75,230.0,6.4
Navy Beans,Navy beans minor,Temperate,Low,167,4.19,301.1,9.8
Pinto Beans,Pinto beans genuina,Mediterranean,High,42,3.7,346.1,8.2
Cranberry Beans,Cranberry beans fixa,Mediterranean,Moderate,70,4.17,93.2,8.9
Lupin Beans,Lupin beans genuina,Temperate,Moderate,300,2.71,292.4,9.2
Black-Eyed Peas,Black-eyed peas latifolia,Tropical,High,110,2.48,208.7,5.2
Lentils,Lentils vulgaris,Polar,High,275,1.62,348.9,9.3
Split Peas,Split peas major,Tropical,Low,153,1.58,153.0,7.6
Chickpea,Chickpea vulgaris,Arid,Moderate,288,0.95,367.4,9.4
Cannellini Bean,Cannellini bean major,Mediterranean,Moderate,121,1.3,297.8,9.3
Fava Bean,Fava bean fixa,Temperate,High,99,2.27,193.7,7.4
Lima Bean,Lima bean latifolia,Arid,High,144,1.64,106.3,2.7
Mung Bean,Mung bean minor,Temperate,Low,125,4.22,66.2,4.2
Soybean,Soybean vulgaris,Temperate,High,240,3.86,346.5,0.9
Winged Bean,Winged bean genuina,Polar,Moderate,122,1.66,344.7,9.8
Hyacinth Bean,Hyacinth bean sapiens,Temperate,Moderate,88,4.24,144.7,7.4
Peanuts,Peanuts genuina,Arid,Moderate,45,2.43,82.3,2.6
Pea Shoots,Pea shoots sapiens,Polar,Moderate,312,4.44,280.7,9.5
Wasabi,Wasabi indica,Mediterranean,Low,184,3.02,334.3,4.6
Sea Kale,Sea kale indica,Temperate,High,303,0.75,304.7,7.4
Lovage,Lovage genuina,Mediterranean,High,238,4.54,59.2,6.5
Tarragon,Tarragon sapiens,Temperate,High,270,3.1,228.0,1.7
Lemon Thyme,Lemon thyme sapiens,Arid,High,76,4.62,78.0,2.9
Wild Garlic,Wild garlic minor,Arid,High,115,0.36,228.0,8.2
Ramsons,Ramsons fixa,Mediterranean,Low,60,4.58,21.2,0.9
Stinging Nettle,Stinging nettle latifolia,Arid,High,285,4.05,160.7,7.8
Pokeweed,Pokeweed minor,Arid,Low,53,4.32,384.8,9.6
Marshmallow,Marshmallow genuina,Arid,High,292,1.48,169.2,8.9
Sassafras,Sassafras vulgaris,Tropical,High,289,1.65,337.9,9.5
Hops,Hops sapiens,Polar,Low,140,4.16,97.0,8.5
Sweet Violet,Sweet violet latifolia,Tropical,Low,38,1.92,200.8,6.9
Blue Cornflower,Blue cornflower fixa,Tropical,Low,250,2.24,194.1,6.2
Borage,Borage fixa,Arid,Low,103,2.99,62.2,8.1
Calendula,Calendula vulgaris,Tropical,High,360,1.59,370.8,4.6
Chamomile,Chamomile sapiens,Arid,High,138,2.9,136.8,1.6
Carnation,Carnation fixa,Temperate,High,149,3.35,35.2,2.5
Chrysanthemum,Chrysanthemum vulgaris,Arid,Low,275,4.15,200.2,1.3
Lavender,Lavender latifolia,Tropical,Low,257,3.59,214.5,2.4
Marigold,Marigold major,Polar,High,203,4.68,46.4,2.8
Nasturtium,Nasturtium genuina,Mediterranean,Moderate,344,3.7,306.9,7.3
Pansy,Pansy sapiens,Polar,High,266,3.89,40.0,4.5
Rose,Rose latifolia,Temperate,Moderate,206,2.08,380.6,2.4
Safflower,Safflower genuina,Arid,High,76,3.26,351.3,4.2
Sunflower,Sunflower fixa,Tropical,Moderate,90,2.83,223.5,5.8
Zucchini Blossoms,Zucchini blossoms genuina,Arid,High,129,1.42,11.7,0.5
